FIPS,State,County,Predicted COVID Cases,Amount Over / Under (Cases),Population
29171,MO,Putnam County,1666.0,1277.0,4662
29173,MO,Ralls County,1770.0,767.0,10410
29175,MO,Randolph County,2655.0,-60.0,24626
29177,MO,Ray County,2733.0,434.0,23121
29179,MO,Reynolds County,1666.0,1160.0,5996
29181,MO,Ripley County,1770.0,804.0,10714
29183,MO,St. Charles County,50045.0,-3915.0,413798
29185,MO,St. Clair County,2110.0,1018.0,9595
29186,MO,Ste. Genevieve County,2353.0,447.0,18613
29187,MO,St. Francois County,8351.0,-802.0,66906
29189,MO,St. Louis County,127938.0,-3837.0,990791
29195,MO,Saline County,2509.0,74.0,23003
29197,MO,Schuyler County,1666.0,1350.0,4000
29199,MO,Scotland County,1666.0,1362.0,4647
29201,MO,Scott County,4390.0,-1015.0,37868
29203,MO,Shannon County,1666.0,973.0,7216
29205,MO,Shelby County,2006.0,1134.0,5996
29207,MO,Stoddard County,3602.0,1363.0,28390
29209,MO,Stone County,4509.0,2111.0,32134
29211,MO,Sullivan County,1666.0,1067.0,5816
29213,MO,Taney County,6755.0,985.0,56749
29215,MO,Texas County,2923.0,921.0,25304
29217,MO,Vernon County,2509.0,97.0,19599
29219,MO,Warren County,4202.0,512.0,37290
29221,MO,Washington County,3110.0,669.0,23392
29223,MO,Wayne County,2187.0,1164.0,10817
29225,MO,Webster County,4288.0,648.0,40366
29227,MO,Worth County,1666.0,1434.0,1940
29229,MO,Wright County,2722.0,1108.0,19143
29510,MO,St. Louis city,39369.0,4319.0,286193
30001,MT,Beaverhead County,1713.0,881.0,9747
30003,MT,Big Horn County,2050.0,-171.0,12826
30005,MT,Blaine County,1666.0,543.0,6972
30007,MT,Broadwater County,1666.0,1170.0,7771
30009,MT,Carbon County,1823.0,1018.0,11236
30011,MT,Carter County,1666.0,1586.0,1403
30013,MT,Cascade County,10045.0,-2285.0,85001
30015,MT,Chouteau County,1666.0,1151.0,5908
30017,MT,Custer County,1766.0,713.0,12000
30019,MT,Daniels County,1666.0,1502.0,1645
30021,MT,Dawson County,1713.0,853.0,8807
30023,MT,Deer Lodge County,1770.0,282.0,9544
30025,MT,Fallon County,1666.0,1441.0,3050
30027,MT,Fergus County,1823.0,833.0,11672
30029,MT,Flathead County,12596.0,704.0,111885
30031,MT,Gallatin County,16624.0,-664.0,124938
30033,MT,Garfield County,1666.0,1583.0,1218
30035,MT,Glacier County,2273.0,133.0,13650
30037,MT,Golden Valley County,1666.0,1620.0,826
30039,MT,Granite County,1666.0,1417.0,3497
30041,MT,Hill County,2106.0,200.0,16118
30043,MT,Jefferson County,2182.0,1038.0,12831
30045,MT,Judith Basin County,1666.0,1552.0,2079
30047,MT,Lake County,4444.0,1100.0,32853
30049,MT,Lewis and Clark County,7836.0,-1008.0,73784
30051,MT,Liberty County,1666.0,1411.0,1974
30053,MT,Lincoln County,2904.0,1006.0,21510
30055,MT,McCone County,1666.0,1537.0,1711
30057,MT,Madison County,1713.0,793.0,9252
30059,MT,Meagher County,1666.0,1362.0,2026
30061,MT,Mineral County,1666.0,1085.0,5020
30063,MT,Missoula County,16624.0,1512.0,121011
30065,MT,Musselshell County,1666.0,1345.0,5169
30067,MT,Park County,2230.0,-16.0,17753
30069,MT,Petroleum County,1666.0,1651.0,521
30071,MT,Phillips County,1666.0,1411.0,4228
30073,MT,Pondera County,1666.0,1061.0,6092
30075,MT,Powder River County,1666.0,1539.0,1732
30077,MT,Powell County,1666.0,961.0,7078
30079,MT,Prairie County,1666.0,1571.0,1108
30081,MT,Ravalli County,4963.0,2213.0,47177
30083,MT,Richland County,1823.0,906.0,11230
30085,MT,Roosevelt County,1713.0,172.0,10537
30087,MT,Rosebud County,1666.0,355.0,8152
30089,MT,Sanders County,2028.0,1266.0,13384
30091,MT,Sheridan County,1666.0,1339.0,3555
30093,MT,Silver Bow County,4483.0,1119.0,35947
30095,MT,Stillwater County,1713.0,1249.0,9169
30097,MT,Sweet Grass County,1666.0,1374.0,3727
30099,MT,Teton County,1666.0,1091.0,6346
30101,MT,Toole County,1666.0,1287.0,5077
30103,MT,Treasure County,1666.0,1634.0,754
30105,MT,Valley County,1666.0,981.0,7542
30107,MT,Wheatland County,1666.0,1489.0,2038
30109,MT,Wibaux County,1666.0,1600.0,927
30111,MT,Yellowstone County,18781.0,762.0,169870
31001,NE,Adams County,3319.0,461.0,30947
31003,NE,Antelope County,1666.0,1249.0,6305
31005,NE,Arthur County,1666.0,1661.0,425
31007,NE,Banner County,1666.0,1636.0,657
31009,NE,Blaine County,1666.0,1644.0,452
31011,NE,Boone County,1666.0,1263.0,5366
31013,NE,Box Butte County,1713.0,954.0,10683
31015,NE,Boyd County,1666.0,1504.0,1730
31017,NE,Brown County,1666.0,1432.0,2883
31019,NE,Buffalo County,6013.0,1050.0,50532
31021,NE,Burt County,1666.0,1115.0,6770
31023,NE,Butler County,1666.0,796.0,8443
31025,NE,Cass County,3010.0,214.0,27152
31027,NE,Cedar County,1744.0,1156.0,8366
31029,NE,Chase County,1666.0,1431.0,3754
31031,NE,Cherry County,1666.0,1508.0,5485
31033,NE,Cheyenne County,1713.0,877.0,9526
31035,NE,Clay County,1666.0,1096.0,6049
31037,NE,Colfax County,1713.0,848.0,10453
31039,NE,Cuming County,1713.0,1140.0,8953
31041,NE,Custer County,1713.0,985.0,10504
31043,NE,Dakota County,2858.0,193.0,21116
31045,NE,Dawes County,1666.0,1322.0,8252
31047,NE,Dawson County,2802.0,1235.0,23905
31049,NE,Deuel County,1666.0,1571.0,1901
31051,NE,Dixon County,1666.0,1162.0,5516
31053,NE,Dodge County,4135.0,-266.0,37045
31055,NE,Douglas County,65073.0,-9918.0,586106
31057,NE,Dundy County,1666.0,1547.0,1595
31059,NE,Fillmore County,1666.0,1173.0,5541
31061,NE,Franklin County,1666.0,1529.0,2850
31063,NE,Frontier County,1666.0,1505.0,2611
31065,NE,Furnas County,1666.0,1209.0,4570
31067,NE,Gage County,2500.0,883.0,21564
31069,NE,Garden County,1666.0,1466.0,1835
31071,NE,Garfield County,1666.0,1512.0,1787
31073,NE,Gosper County,1666.0,1514.0,1835
31075,NE,Grant County,1666.0,1643.0,584
31077,NE,Greeley County,1666.0,1523.0,2235
31079,NE,Hall County,7329.0,-337.0,62096
31081,NE,Hamilton County,1713.0,555.0,9439
31083,NE,Harlan County,1666.0,1614.0,3032
31085,NE,Hayes County,1666.0,1651.0,864
31087,NE,Hitchcock County,1666.0,1482.0,2614
31089,NE,Holt County,1713.0,787.0,10013
31091,NE,Hooker County,1666.0,1638.0,682
31093,NE,Howard County,1666.0,1222.0,6509
31095,NE,Jefferson County,2006.0,1590.0,7140
31097,NE,Johnson County,1666.0,1510.0,5245
31099,NE,Kearney County,1666.0,1261.0,6706
31101,NE,Keith County,1666.0,1052.0,8179
31103,NE,Keya Paha County,1666.0,1632.0,805
31105,NE,Kimball County,1666.0,1458.0,3336
31107,NE,Knox County,1666.0,1039.0,8307
31109,NE,Lancaster County,43041.0,1161.0,324434
31111,NE,Lincoln County,4201.0,44.0,33614
31113,NE,Logan County,1666.0,1622.0,685
31115,NE,Loup County,1666.0,1645.0,601
31117,NE,McPherson County,1666.0,1646.0,379
31119,NE,Madison County,4131.0,-174.0,35414
31121,NE,Merrick County,1666.0,940.0,7715
31123,NE,Morrill County,1744.0,1353.0,4522
31125,NE,Nance County,1666.0,1402.0,3317
31127,NE,Nemaha County,1666.0,1223.0,7036
31129,NE,Nuckolls County,1666.0,1308.0,4069
31131,NE,Otoe County,2053.0,698.0,16186
31133,NE,Pawnee County,1666.0,1491.0,2531
31135,NE,Perkins County,1666.0,1514.0,2827
31137,NE,Phelps County,1713.0,743.0,8988
31139,NE,Pierce County,2006.0,1502.0,7317
31141,NE,Platte County,3563.0,-75.0,34355
31143,NE,Polk County,1666.0,1219.0,5240
31145,NE,Red Willow County,1713.0,1006.0,10528
31147,NE,Richardson County,1666.0,740.0,7730
31149,NE,Rock County,1666.0,1635.0,1241
31151,NE,Saline County,1901.0,371.0,14548
31153,NE,Sarpy County,20249.0,-3492.0,196427
31155,NE,Saunders County,2431.0,681.0,23177
31157,NE,Scotts Bluff County,4426.0,637.0,35769
31159,NE,Seward County,2053.0,961.0,17625
31161,NE,Sheridan County,1666.0,1424.0,5006
31163,NE,Sherman County,1666.0,1445.0,3006
31165,NE,Sioux County,1666.0,1645.0,1127
31167,NE,Stanton County,1666.0,1485.0,5765
31169,NE,Thayer County,1666.0,1197.0,4854
31171,NE,Thomas County,1666.0,1637.0,665
31173,NE,Thurston County,2006.0,1100.0,6555
31175,NE,Valley County,1666.0,1387.0,4058
31177,NE,Washington County,2431.0,417.0,21167
31179,NE,Wayne County,2053.0,1359.0,9899
31181,NE,Webster County,1666.0,1398.0,3339
31183,NE,Wheeler County,1666.0,1621.0,782
31185,NE,York County,2334.0,425.0,14312
32001,NV,Churchill County,2811.0,-257.0,25798
32003,NV,Clark County,387989.0,104817.0,2322535
32005,NV,Douglas County,5753.0,2396.0,49662
32007,NV,Elko County,5970.0,2963.0,53979
32009,NV,Esmeralda County,1666.0,1605.0,747
32011,NV,Eureka County,1666.0,1730.0,1863
32013,NV,Humboldt County,2200.0,2702.0,17296
32015,NV,Lander County,1666.0,1215.0,5761
32017,NV,Lincoln County,1666.0,1729.0,4440
32019,NV,Lyon County,6627.0,2179.0,61628
32021,NV,Mineral County,1666.0,853.0,4537
32023,NV,Nye County,6741.0,2997.0,54769
32027,NV,Pershing County,1666.0,540.0,6450
32029,NV,Storey County,1666.0,1719.0,4165
32031,NV,Washoe County,66438.0,12579.0,496980
32033,NV,White Pine County,1666.0,1369.0,8746
32510,NV,Carson City,7270.0,-83.0,58065
33001,NH,Belknap County,7739.0,141.0,64705
33003,NH,Carroll County,5293.0,-473.0,52154
33005,NH,Cheshire County,8859.0,-313.0,77463
33007,NH,Coos County,3766.0,280.0,31476
33009,NH,Grafton County,10390.0,-2808.0,93131
33011,NH,Hillsborough County,50758.0,-2283.0,427493
33013,NH,Merrimack County,18099.0,-178.0,156459
33015,NH,Rockingham County,43241.0,5520.0,319633
33017,NH,Strafford County,17541.0,735.0,132571
33019,NH,Sullivan County,4579.0,-822.0,43918
34001,NJ,Atlantic County,33590.0,-4751.0,275382
34003,NJ,Bergen County,123926.0,-27700.0,953540
34005,NJ,Burlington County,56159.0,-7015.0,466101
34007,NJ,Camden County,69311.0,-5475.0,524649
34009,NJ,Cape May County,11115.0,-959.0,95405
34011,NJ,Cumberland County,22689.0,-882.0,151347
34013,NJ,Essex County,107954.0,-16922.0,849724
34015,NJ,Gloucester County,38039.0,124.0,306767
34017,NJ,Hudson County,105112.0,-1095.0,702381
34019,NJ,Hunterdon County,16984.0,265.0,129805
34021,NJ,Mercer County,44236.0,-9571.0,380779
34023,NJ,Middlesex County,119232.0,-6360.0,861094
34025,NJ,Monmouth County,79315.0,-13102.0,644228
34027,NJ,Morris County,56331.0,-21676.0,511219
34029,NJ,Ocean County,70691.0,-14832.0,655663
34031,NJ,Passaic County,71773.0,-6978.0,513634
34033,NJ,Salem County,7655.0,338.0,65157
34035,NJ,Somerset County,42790.0,-2854.0,347047
34037,NJ,Sussex County,18145.0,-1304.0,145575
34039,NJ,Union County,72212.0,-9716.0,570417
34041,NJ,Warren County,13745.0,-45.0,110903
35001,NM,Bernalillo County,97200.0,1972.0,672957
35003,NM,Catron County,1666.0,1435.0,3793
35005,NM,Chaves County,7882.0,-1223.0,63892
35006,NM,Cibola County,4352.0,-486.0,26871
35007,NM,Colfax County,1969.0,909.0,12272
35009,NM,Curry County,5728.0,-270.0,47430
35011,NM,De Baca County,1666.0,1330.0,1692
35013,NM,Doña Ana County,33741.0,-1111.0,223530
35015,NM,Eddy County,8116.0,1661.0,60203
35017,NM,Grant County,3691.0,-1589.0,27693
35019,NM,Guadalupe County,1666.0,922.0,4316
35021,NM,Harding County,1666.0,1623.0,621
35023,NM,Hidalgo County,2006.0,1401.0,4011
35025,NM,Lea County,8518.0,787.0,72343
35027,NM,Lincoln County,2733.0,-24.0,20343
35028,NM,Los Alamos County,2201.0,-1307.0,19273
35029,NM,Luna County,3449.0,450.0,25693
35031,NM,McKinley County,9946.0,-4955.0,69931
35033,NM,Mora County,1666.0,1159.0,4147
35035,NM,Otero County,9033.0,988.0,68517
35037,NM,Quay County,1744.0,824.0,8529
35039,NM,Rio Arriba County,5294.0,-1495.0,39991
35041,NM,Roosevelt County,2733.0,187.0,18858
35043,NM,Sandoval County,19452.0,-3551.0,153597
35045,NM,San Juan County,15717.0,-7555.0,120569
35047,NM,San Miguel County,3778.0,-334.0,26902
35049,NM,Santa Fe County,19720.0,-3005.0,155761
35051,NM,Sierra County,2065.0,1094.0,11474
35053,NM,Socorro County,2291.0,188.0,16111
35055,NM,Taos County,4444.0,527.0,34590
35057,NM,Torrance County,2502.0,1030.0,15383
35059,NM,Union County,1666.0,1268.0,3982
35061,NM,Valencia County,10307.0,-795.0,78201
36001,NY,Albany County,37497.0,2343.0,315921
36003,NY,Allegany County,5554.0,2002.0,46726
36007,NY,Broome County,22541.0,-895.0,197258
36009,NY,Cattaraugus County,8925.0,1607.0,76050
36011,NY,Cayuga County,8313.0,-57.0,74679
36013,NY,Chautauqua County,15046.0,4119.0,125344
36015,NY,Chemung County,9625.0,-1303.0,81641
36017,NY,Chenango County,4893.0,64.0,46331
36019,NY,Clinton County,9353.0,-2558.0,78037
36021,NY,Columbia County,6782.0,478.0,61108
36023,NY,Cortland County,4981.0,-684.0,46081
36025,NY,Delaware County,5050.0,714.0,44774
36027,NY,Dutchess County,35427.0,-587.0,297609
36029,NY,Erie County,114600.0,2521.0,948423
36031,NY,Essex County,4451.0,742.0,36763
36033,NY,Franklin County,5480.0,129.0,46393
36035,NY,Fulton County,5749.0,-1368.0,52256
36037,NY,Genesee County,7472.0,1466.0,57398
